"","N_groups","model","N_fac","mean","mean_abs","sd","N"
"1",1,"Traditional","500",-0.682211538461539,15.684532051282,20.0033187504569,156
"2",1,"Traditional","1000",2.72966666666667,13.1683333333333,16.2034530846566,6
"3",1,"MAIHDA","500",-2.92821794871795,5.29084615384615,5.88084214760906,156
"4",1,"MAIHDA","1000",-3.57766666666667,5.56266666666667,6.61708457454389,6
"5",2,"Traditional","500",0.588972067039106,11.1598994413408,14.0990327677189,358
"6",2,"Traditional","1000",2.69176923076923,11.2637692307692,14.7232563172898,26
"7",2,"MAIHDA","500",-1.77487988826816,4.70137150837989,5.53854092007524,358
"8",2,"MAIHDA","1000",-0.531115384615385,2.31057692307692,3.07250879024843,26
"9",3,"Traditional","500",-0.413751269035533,9.53515228426396,11.8699257093927,591
"10",3,"Traditional","1000",-1.63405555555555,8.2195,10.5295592471979,54
"11",3,"MAIHDA","500",-1.34818781725888,4.82168358714044,5.91045837136005,591
"12",3,"MAIHDA","1000",-1.42481481481481,3.09411111111111,3.58446897766627,54
"13",4,"Traditional","500",-0.158172914147521,8.58761910519952,10.7222135928002,827
"14",4,"Traditional","1000",0.276697916666667,8.69330208333333,10.8852785116508,96
"15",4,"MAIHDA","500",-1.08435550181378,4.62331318016929,5.64885695218081,827
"16",4,"MAIHDA","1000",-2.335125,3.58970833333333,3.88946659649664,96
"17",5,"Traditional","500",-0.0458290422245106,7.54615859938208,9.41600649199761,971
"18",5,"Traditional","1000",1.49986440677966,8.26974011299435,9.93147745941985,177
"19",5,"MAIHDA","500",-0.728348094747683,4.41075592173017,5.37329040703113,971
"20",5,"MAIHDA","1000",-1.33764406779661,3.74783615819209,4.48454696111615,177
"21",6,"Traditional","500",-0.43361095636026,7.03425719591458,8.90296683393171,1077
"22",6,"Traditional","1000",-0.260810218978103,6.1616496350365,7.7911672902121,274
"23",6,"MAIHDA","500",-0.69803156917363,4.23589600742804,5.3069177893382,1077
"24",6,"MAIHDA","1000",-1.87518248175182,3.39713868613139,3.86958949317616,274
"25",7,"Traditional","500",-0.161616322701689,6.24407598499062,7.78678691636175,1066
"26",7,"Traditional","1000",-0.292994397759104,6.26873109243697,7.79399288994466,357
"27",7,"MAIHDA","500",-0.365746716697936,4.06872420262664,5.02237921525214,1066
"28",7,"MAIHDA","1000",-1.69712324929972,3.49507282913165,3.99698640711968,357
"29",8,"Traditional","500",-0.248131433823529,6.16398621323529,7.78782318788172,1088
"30",8,"Traditional","1000",-0.00626315789473702,5.98260765550239,7.43402503804723,418
"31",8,"MAIHDA","500",-0.427394301470588,4.16171047794118,5.22283989126183,1088
"32",8,"MAIHDA","1000",-1.0271985645933,3.2845,3.99474752101314,418
"33",9,"Traditional","500",-0.141969030969031,5.86949150849151,7.29929608990072,1001
"34",9,"Traditional","1000",0.107473140495868,5.43384090909091,6.86743557555294,484
"35",9,"MAIHDA","500",-0.258380619380619,4.01477022977023,5.00911395597905,1001
"36",9,"MAIHDA","1000",-1.06499380165289,3.36167148760331,3.95146346634274,484
"37",10,"Traditional","500",-0.0523329886246124,5.45851085832472,6.84232070622005,967
"38",10,"Traditional","1000",-0.0996525423728813,5.13407627118644,6.6034475231593,472
"39",10,"MAIHDA","500",-0.180534643226474,3.83841882109617,4.84469888136795,967
"40",10,"MAIHDA","1000",-0.491752118644067,3.32993855932203,4.11083797719274,472
"41",11,"Traditional","500",-0.347986363636364,5.50666590909091,6.81694687946833,880
"42",11,"Traditional","1000",0.672719330855019,5.33238104089219,6.77906578252743,538
"43",11,"MAIHDA","500",-0.508770454545454,3.92871363636364,4.8612490421563,880
"44",11,"MAIHDA","1000",-0.231817843866171,3.56181784386617,4.44176348879668,538
"45",12,"Traditional","500",0.0245139393939394,5.34233454545455,6.75772644183902,825
"46",12,"Traditional","1000",0.0421892332789562,5.07472430668842,6.2661457193837,613
"47",12,"MAIHDA","500",-0.0326145454545455,3.83655878787879,4.86110991129506,825
"48",12,"MAIHDA","1000",-0.182732463295269,3.43539804241436,4.29630380206984,613
"49",13,"Traditional","500",0.238287630402384,4.74923845007452,5.96516925001499,671
"50",13,"Traditional","1000",-0.209186688311688,4.80830357142857,5.96422662178301,616
"51",13,"MAIHDA","500",0.170932935916542,3.60068554396423,4.52387711869453,671
"52",13,"MAIHDA","1000",-0.342897727272727,3.3309301948052,4.15980663531153,616
"53",14,"Traditional","500",-0.251425465838509,4.81830124223602,6.0970742160475,644
"54",14,"Traditional","1000",-0.0465016181229773,4.57799676375405,5.65399644899218,618
"55",14,"MAIHDA","500",-0.163964285714286,3.62816614906832,4.52323326777195,644
"56",14,"MAIHDA","1000",0.0214805825242719,3.19165210355987,3.94828382681564,618
"57",15,"Traditional","500",-0.379256544502618,4.73080279232112,5.90677480201271,573
"58",15,"Traditional","1000",-0.337170992366412,4.56116488549618,5.69932509052927,655
"59",15,"MAIHDA","500",-0.135488656195462,3.62380977312391,4.57394220702943,573
"60",15,"MAIHDA","1000",-0.0587893129770992,3.07793129770992,3.87777583657482,655
"61",16,"Traditional","500",-0.213796257796258,4.84719334719335,6.01686036553971,481
"62",16,"Traditional","1000",-0.0914853896103895,4.36026785714286,5.42536781771612,616
"63",16,"MAIHDA","500",-0.0643742203742204,3.65826195426195,4.53473082962676,481
"64",16,"MAIHDA","1000",-0.079560064935065,2.99239448051948,3.7102062839628,616
"65",17,"Traditional","500",-0.252126410835215,4.93890293453725,6.16214519320782,443
"66",17,"Traditional","1000",0.157112820512821,4.21236752136752,5.30102277100906,585
"67",17,"MAIHDA","500",-0.0623702031602709,3.72580135440181,4.67356269077783,443
"68",17,"MAIHDA","1000",0.420776068376068,3.01716581196581,3.75671620022265,585
"69",18,"Traditional","500",0.0603616438356164,4.76184657534247,6.13190965590615,365
"70",18,"Traditional","1000",0.674979890310786,4.10168190127971,5.14015676504053,547
"71",18,"MAIHDA","500",0.135057534246575,3.65775890410959,4.65974605430776,365
"72",18,"MAIHDA","1000",0.487221206581353,2.87829616087751,3.52352854754109,547
"73",19,"Traditional","500",0.478045751633987,5.04452941176471,6.13571963242585,306
"74",19,"Traditional","1000",0.47341726618705,4.20620143884892,5.20256047134559,556
"75",19,"MAIHDA","500",0.594673202614379,3.92603267973856,4.7380929605369,306
"76",19,"MAIHDA","1000",-0.0868848920863309,2.90524460431655,3.63347120821956,556
"77",20,"Traditional","500",-0.190130718954248,4.39032679738562,5.50235277151518,306
"78",20,"Traditional","1000",0.308152416356877,4.14365799256506,5.19930086682122,538
"79",20,"MAIHDA","500",-0.0138202614379084,3.4022908496732,4.28841714125669,306
"80",20,"MAIHDA","1000",0.153884758364312,2.79661710037175,3.54563378697136,538
