"","N_groups","mean_Traditional_500","mean_abs_Traditional_500","sd_Traditional_500","mean_MAIHDA_500","mean_abs_MAIHDA_500","sd_MAIHDA_500","mean_Traditional_1000","mean_abs_Traditional_1000","sd_Traditional_1000","mean_MAIHDA_1000","mean_abs_MAIHDA_1000","sd_MAIHDA_1000"
"1",1,-0.682211538461539,15.684532051282,20.0033187504569,-2.92821794871795,5.29084615384615,5.88084214760906,2.72966666666667,13.1683333333333,16.2034530846566,-3.57766666666667,5.56266666666667,6.61708457454389
"2",2,0.588972067039106,11.1598994413408,14.0990327677189,-1.77487988826816,4.70137150837989,5.53854092007524,2.69176923076923,11.2637692307692,14.7232563172898,-0.531115384615385,2.31057692307692,3.07250879024843
"3",3,-0.413751269035533,9.53515228426396,11.8699257093927,-1.34818781725888,4.82168358714044,5.91045837136005,-1.63405555555555,8.2195,10.5295592471979,-1.42481481481481,3.09411111111111,3.58446897766627
"4",4,-0.158172914147521,8.58761910519952,10.7222135928002,-1.08435550181378,4.62331318016929,5.64885695218081,0.276697916666667,8.69330208333333,10.8852785116508,-2.335125,3.58970833333333,3.88946659649664
"5",5,-0.0458290422245106,7.54615859938208,9.41600649199761,-0.728348094747683,4.41075592173017,5.37329040703113,1.49986440677966,8.26974011299435,9.93147745941985,-1.33764406779661,3.74783615819209,4.48454696111615
"6",6,-0.43361095636026,7.03425719591458,8.90296683393171,-0.69803156917363,4.23589600742804,5.3069177893382,-0.260810218978103,6.1616496350365,7.7911672902121,-1.87518248175182,3.39713868613139,3.86958949317616
"7",7,-0.161616322701689,6.24407598499062,7.78678691636175,-0.365746716697936,4.06872420262664,5.02237921525214,-0.292994397759104,6.26873109243697,7.79399288994466,-1.69712324929972,3.49507282913165,3.99698640711968
"8",8,-0.248131433823529,6.16398621323529,7.78782318788172,-0.427394301470588,4.16171047794118,5.22283989126183,-0.00626315789473702,5.98260765550239,7.43402503804723,-1.0271985645933,3.2845,3.99474752101314
"9",9,-0.141969030969031,5.86949150849151,7.29929608990072,-0.258380619380619,4.01477022977023,5.00911395597905,0.107473140495868,5.43384090909091,6.86743557555294,-1.06499380165289,3.36167148760331,3.95146346634274
"10",10,-0.0523329886246124,5.45851085832472,6.84232070622005,-0.180534643226474,3.83841882109617,4.84469888136795,-0.0996525423728813,5.13407627118644,6.6034475231593,-0.491752118644067,3.32993855932203,4.11083797719274
"11",11,-0.347986363636364,5.50666590909091,6.81694687946833,-0.508770454545454,3.92871363636364,4.8612490421563,0.672719330855019,5.33238104089219,6.77906578252743,-0.231817843866171,3.56181784386617,4.44176348879668
"12",12,0.0245139393939394,5.34233454545455,6.75772644183902,-0.0326145454545455,3.83655878787879,4.86110991129506,0.0421892332789562,5.07472430668842,6.2661457193837,-0.182732463295269,3.43539804241436,4.29630380206984
"13",13,0.238287630402384,4.74923845007452,5.96516925001499,0.170932935916542,3.60068554396423,4.52387711869453,-0.209186688311688,4.80830357142857,5.96422662178301,-0.342897727272727,3.3309301948052,4.15980663531153
"14",14,-0.251425465838509,4.81830124223602,6.0970742160475,-0.163964285714286,3.62816614906832,4.52323326777195,-0.0465016181229773,4.57799676375405,5.65399644899218,0.0214805825242719,3.19165210355987,3.94828382681564
"15",15,-0.379256544502618,4.73080279232112,5.90677480201271,-0.135488656195462,3.62380977312391,4.57394220702943,-0.337170992366412,4.56116488549618,5.69932509052927,-0.0587893129770992,3.07793129770992,3.87777583657482
"16",16,-0.213796257796258,4.84719334719335,6.01686036553971,-0.0643742203742204,3.65826195426195,4.53473082962676,-0.0914853896103895,4.36026785714286,5.42536781771612,-0.079560064935065,2.99239448051948,3.7102062839628
"17",17,-0.252126410835215,4.93890293453725,6.16214519320782,-0.0623702031602709,3.72580135440181,4.67356269077783,0.157112820512821,4.21236752136752,5.30102277100906,0.420776068376068,3.01716581196581,3.75671620022265
"18",18,0.0603616438356164,4.76184657534247,6.13190965590615,0.135057534246575,3.65775890410959,4.65974605430776,0.674979890310786,4.10168190127971,5.14015676504053,0.487221206581353,2.87829616087751,3.52352854754109
"19",19,0.478045751633987,5.04452941176471,6.13571963242585,0.594673202614379,3.92603267973856,4.7380929605369,0.47341726618705,4.20620143884892,5.20256047134559,-0.0868848920863309,2.90524460431655,3.63347120821956
"20",20,-0.190130718954248,4.39032679738562,5.50235277151518,-0.0138202614379084,3.4022908496732,4.28841714125669,0.308152416356877,4.14365799256506,5.19930086682122,0.153884758364312,2.79661710037175,3.54563378697136
