"","N_groups","model","N_fac","bias","SD","N","SE"
"1",1,"Bay.","500",-0.63674358974359,20.0397231539926,156,1.60446193570695
"2",1,"Bay.","1000",2.61583333333333,16.3414893497094,6,6.6713850906523
"3",1,"Freq.","500",-0.682211538461538,20.0033187504569,156,1.60154725074268
"4",1,"Freq.","1000",2.72966666666667,16.2034530846566,6,6.61503202142245
"5",1,"MAIHDA","500",-2.92821794871795,5.88084214760906,156,0.470844197957891
"6",1,"MAIHDA","1000",-3.57766666666667,6.61708457454389,6,2.70141346541234
"7",2,"Bay.","500",0.585198324022346,14.1177635657285,358,0.746146989461297
"8",2,"Bay.","1000",2.6825,14.7422852427973,26,2.8912000049221
"9",2,"Freq.","500",0.588972067039106,14.0990327677189,358,0.745157036025683
"10",2,"Freq.","1000",2.69176923076923,14.7232563172898,26,2.88746812559574
"11",2,"MAIHDA","500",-1.77487988826816,5.53854092007524,358,0.292720983340047
"12",2,"MAIHDA","1000",-0.531115384615385,3.07250879024843,26,0.602568549121619
"13",3,"Bay.","500",-0.415018612521151,11.86894390764,591,0.488223114585334
"14",3,"Bay.","1000",-1.63694444444444,10.4886218016831,54,1.42732063995304
"15",3,"Freq.","500",-0.413751269035533,11.8699257093927,591,0.488263500512959
"16",3,"Freq.","1000",-1.63405555555556,10.5295592471979,54,1.43289152066884
"17",3,"MAIHDA","500",-1.34818781725888,5.91045837136005,591,0.243123770501174
"18",3,"MAIHDA","1000",-1.42481481481481,3.58446897766627,54,0.487784444117668
"19",4,"Bay.","500",-0.148517533252721,10.7119177219334,827,0.372489875991833
"20",4,"Bay.","1000",0.227010416666667,10.8662016987439,96,1.10902706683693
"21",4,"Freq.","500",-0.158172914147521,10.7222135928002,827,0.372847898501147
"22",4,"Freq.","1000",0.276697916666667,10.8852785116508,96,1.11097408590111
"23",4,"MAIHDA","500",-1.08435550181378,5.64885695218082,827,0.196430002566678
"24",4,"MAIHDA","1000",-2.335125,3.88946659649664,96,0.396967022209013
"25",5,"Bay.","500",-0.0482770339855818,9.43154079225428,971,0.302672547780901
"26",5,"Bay.","1000",1.51350847457627,9.93128145576496,177,0.746480825920388
"27",5,"Freq.","500",-0.0458290422245108,9.41600649199762,971,0.302174028361832
"28",5,"Freq.","1000",1.49986440677966,9.93147745941985,177,0.746495558457256
"29",5,"MAIHDA","500",-0.728348094747683,5.37329040703113,971,0.172437095198532
"30",5,"MAIHDA","1000",-1.33764406779661,4.48454696111615,177,0.337079191071511
"31",6,"Bay.","500",-0.418963788300836,8.91190808946972,1077,0.271558153664868
"32",6,"Bay.","1000",-0.255521897810219,7.81162304765872,274,0.471917406785784
"33",6,"Freq.","500",-0.43361095636026,8.90296683393171,1077,0.271285701253894
"34",6,"Freq.","1000",-0.260810218978102,7.7911672902121,274,0.470681629284854
"35",6,"MAIHDA","500",-0.69803156917363,5.3069177893382,1077,0.161709117963948
"36",6,"MAIHDA","1000",-1.87518248175182,3.86958949317616,274,0.233770450494604
"37",7,"Bay.","500",-0.162539399624765,7.78126634713868,1066,0.238326139849111
"38",7,"Bay.","1000",-0.296366946778711,7.79163440487562,357,0.412377022494402
"39",7,"Freq.","500",-0.161616322701689,7.78678691636175,1066,0.238495224917531
"40",7,"Freq.","1000",-0.292994397759104,7.79399288994466,357,0.412501846761023
"41",7,"MAIHDA","500",-0.365746716697936,5.02237921525214,1066,0.153826407917472
"42",7,"MAIHDA","1000",-1.69712324929972,3.99698640711968,357,0.211542953361263
"43",8,"Bay.","500",-0.243744485294118,7.79808773135048,1088,0.236414260251406
"44",8,"Bay.","1000",0.000947368421052641,7.434215990789,418,0.363619389967112
"45",8,"Freq.","500",-0.248131433823529,7.78782318788173,1088,0.236103070568168
"46",8,"Freq.","1000",-0.00626315789473684,7.43402503804724,418,0.363610050163216
"47",8,"MAIHDA","500",-0.427394301470588,5.22283989126183,1088,0.158340592186485
"48",8,"MAIHDA","1000",-1.0271985645933,3.99474752101314,418,0.195389488072873
"49",9,"Bay.","500",-0.134777222777223,7.30401009277237,1001,0.230857679463243
"50",9,"Bay.","1000",0.106993801652893,6.87248294672046,484,0.312385588487294
"51",9,"Freq.","500",-0.141969030969031,7.29929608990072,1001,0.230708684082608
"52",9,"Freq.","1000",0.107473140495868,6.86743557555295,484,0.312156162525134
"53",9,"MAIHDA","500",-0.258380619380619,5.00911395597904,1001,0.158322949907828
"54",9,"MAIHDA","1000",-1.06499380165289,3.95146346634274,484,0.179611975742852
"55",10,"Bay.","500",-0.0457032057911065,6.84638641729847,967,0.22016494468845
"56",10,"Bay.","1000",-0.0985677966101695,6.59983656585758,472,0.303782101240286
"57",10,"Freq.","500",-0.0523329886246122,6.84232070622006,967,0.220034200234348
"58",10,"Freq.","1000",-0.0996525423728814,6.60344752315931,472,0.3039483090222
"59",10,"MAIHDA","500",-0.180534643226474,4.84469888136794,967,0.155795013052952
"60",10,"MAIHDA","1000",-0.491752118644068,4.11083797719274,472,0.189216655004806
"61",11,"Bay.","500",-0.342894318181818,6.81588801362685,880,0.229763538067604
"62",11,"Bay.","1000",0.671985130111524,6.78138443645626,538,0.292366243287038
"63",11,"Freq.","500",-0.347986363636364,6.81694687946833,880,0.229799232427839
"64",11,"Freq.","1000",0.672719330855019,6.77906578252743,538,0.292266279017941
"65",11,"MAIHDA","500",-0.508770454545455,4.8612490421563,880,0.163872671781067
"66",11,"MAIHDA","1000",-0.231817843866171,4.44176348879668,538,0.191498021820988
"67",12,"Bay.","500",0.0249733333333333,6.75966563427157,825,0.235341349731656
"68",12,"Bay.","1000",0.0419836867862969,6.27403983850583,613,0.253406082345293
"69",12,"Freq.","500",0.0245139393939394,6.75772644183902,825,0.235273835717035
"70",12,"Freq.","1000",0.042189233278956,6.26614571938369,613,0.253087241876982
"71",12,"MAIHDA","500",-0.0326145454545455,4.86110991129506,825,0.169242123740251
"72",12,"MAIHDA","1000",-0.182732463295269,4.29630380206983,613,0.17352607619192
"73",13,"Bay.","500",0.247183308494784,5.964713864658,671,0.230265224798449
"74",13,"Bay.","1000",-0.21525,5.97145856724513,616,0.240596922110611
"75",13,"Freq.","500",0.238287630402385,5.96516925001499,671,0.230282804755171
"76",13,"Freq.","1000",-0.209186688311688,5.964226621783,616,0.240305538724213
"77",13,"MAIHDA","500",0.170932935916542,4.52387711869453,671,0.174642339152087
"78",13,"MAIHDA","1000",-0.342897727272727,4.15980663531153,616,0.167603385631959
"79",14,"Bay.","500",-0.259658385093168,6.10301287281376,644,0.240492397723786
"80",14,"Bay.","1000",-0.0410129449838188,5.65486963221688,618,0.227472216580686
"81",14,"Freq.","500",-0.251425465838509,6.0970742160475,644,0.240258381863957
"82",14,"Freq.","1000",-0.0465016181229773,5.65399644899218,618,0.227437092000188
"83",14,"MAIHDA","500",-0.163964285714286,4.52323326777196,644,0.178240360408899
"84",14,"MAIHDA","1000",0.0214805825242718,3.94828382681564,618,0.158823267765297
"85",15,"Bay.","500",-0.373720767888307,5.91574111970087,573,0.247133630664555
"86",15,"Bay.","1000",-0.330196946564885,5.70561815346422,655,0.222936948992689
"87",15,"Freq.","500",-0.379256544502618,5.90677480201271,573,0.246759057369488
"88",15,"Freq.","1000",-0.337170992366412,5.69932509052927,655,0.222691058676723
"89",15,"MAIHDA","500",-0.135488656195462,4.57394220702943,573,0.191079176928247
"90",15,"MAIHDA","1000",-0.0587893129770992,3.87777583657482,655,0.151517239785609
"91",16,"Bay.","500",-0.208758835758836,6.02521048111339,481,0.274725950546687
"92",16,"Bay.","1000",-0.0890048701298701,5.42785984400437,616,0.218694705390497
"93",16,"Freq.","500",-0.213796257796258,6.01686036553971,481,0.274345218048571
"94",16,"Freq.","1000",-0.0914853896103896,5.42536781771612,616,0.218594298789996
"95",16,"MAIHDA","500",-0.0643742203742204,4.53473082962676,481,0.206765928185859
"96",16,"MAIHDA","1000",-0.0795600649350649,3.7102062839628,616,0.149488471244425
"97",17,"Bay.","500",-0.25720316027088,6.1572874867044,443,0.292541556901762
"98",17,"Bay.","1000",0.167294017094017,5.30295951155712,585,0.219250391851102
"99",17,"Freq.","500",-0.252126410835214,6.16214519320782,443,0.29277235350279
"100",17,"Freq.","1000",0.15711282051282,5.30102277100906,585,0.219170317484486
"101",17,"MAIHDA","500",-0.0623702031602709,4.67356269077783,443,0.222047664461078
"102",17,"MAIHDA","1000",0.420776068376068,3.75671620022265,585,0.155321098940532
"103",18,"Bay.","500",0.0504438356164384,6.11648173805165,365,0.32015128637824
"104",18,"Bay.","1000",0.675822669104205,5.13477416850405,547,0.21954708973192
"105",18,"Freq.","500",0.0603616438356164,6.13190965590615,365,0.320958820506321
"106",18,"Freq.","1000",0.674979890310786,5.14015676504053,547,0.219777232940951
"107",18,"MAIHDA","500",0.135057534246575,4.65974605430776,365,0.243902255802004
"108",18,"MAIHDA","1000",0.487221206581353,3.52352854754109,547,0.150655201731171
"109",19,"Bay.","500",0.489666666666667,6.13577424243252,306,0.350758867110342
"110",19,"Bay.","1000",0.478771582733813,5.20442754958725,556,0.220716891644068
"111",19,"Freq.","500",0.478045751633987,6.13571963242585,306,0.350755745264049
"112",19,"Freq.","1000",0.47341726618705,5.20256047134559,556,0.220637709889297
"113",19,"MAIHDA","500",0.594673202614379,4.73809296053691,306,0.270858746335253
"114",19,"MAIHDA","1000",-0.0868848920863309,3.63347120821956,556,0.154093502756137
"115",20,"Bay.","500",-0.193281045751634,5.49311909360174,306,0.314020717524
"116",20,"Bay.","1000",0.303078066914498,5.20498044057976,538,0.224402641091093
"117",20,"Freq.","500",-0.190130718954248,5.50235277151518,306,0.314548571756605
"118",20,"Freq.","1000",0.308152416356877,5.19930086682122,538,0.224157777279165
"119",20,"MAIHDA","500",-0.0138202614379085,4.28841714125669,306,0.245152490742135
"120",20,"MAIHDA","1000",0.153884758364312,3.54563378697136,538,0.152863127003329
"121",21,"Bay.","500",-0.0192439024390244,5.75728563784871,246,0.367071125314634
"122",21,"Bay.","1000",0.0718012820512821,5.1522365216049,468,0.238162217461086
"123",21,"Freq.","500",-0.0196260162601626,5.74635007620844,246,0.366373899370024
