"","N_fac","group","N","True_score","Diff_from_true_Fixed Effect","Diff_from_true_MAIHDA","SE_Fixed Effect","SE_MAIHDA"
"1","500","CG Asian Black men",1.1,41,6.262534,3.770731,4.902733,5.943217
"2","1000","CG Asian Black men",1.189,41,6.126327,2.815059,3.332721,4.490927
"3","5000","CG Asian Black men",1.958,41,5.990646,2.016147,1.454211,2.984505
"4","500","CG Asian Black women",1.056,29,6.610615,3.642701,7.960617,6.02532
"5","1000","CG Asian Black women",1.126,29,4.998078,2.668558,5.626909,4.551412
"6","5000","CG Asian Black women",1.542,29,2.679041,1.466698,2.535125,3.024123
"7","500","CG Asian Hispanic men",1.625,37,5.259292,3.671962,6.695014,5.810305
"8","1000","CG Asian Hispanic men",2.335,37,3.72946,2.746947,4.75284,4.324536
"9","5000","CG Asian Hispanic men",7.891,37,1.765819,1.550548,2.137362,2.789697
"10","500","CG Asian Hispanic women",1.372,28,6.223102,3.572052,7.925618,5.919639
"11","1000","CG Asian Hispanic women",1.719,28,4.713891,2.57903,5.818314,4.437633
"12","5000","CG Asian Hispanic women",4.86,28,2.142958,1.394819,2.691775,2.892496
"13","500","CG Asian men",31.056,47,3.796786,3.351694,4.902733,4.461146
"14","1000","CG Asian men",64.313,47,2.685431,2.370161,3.332721,3.067288
"15","5000","CG Asian men",328.181,47,1.1372,1.117795,1.454211,1.41164
"16","500","CG Asian White men",2.288,49,2.925624,3.073716,3.91001,5.344915
"17","1000","CG Asian White men",3.784,49,2.049824,2.355916,2.624024,3.970359
"18","5000","CG Asian White men",15.155,49,0.905798,1.612514,1.130559,2.568946
"19","500","CG Asian White women",1.752,35,3.131268,3.696313,4.21348,5.448641
"20","1000","CG Asian White women",2.544,35,2.281669,3.148057,2.840828,4.069989
"21","5000","CG Asian White women",8.762,35,0.994363,2.824767,1.228858,2.703346
"22","500","CG Asian women",18.242,37,4.402413,3.450021,5.691739,4.803935
"23","1000","CG Asian women",36.527,37,3.217102,2.56575,3.934299,3.358758
"24","5000","CG Asian women",184.702,37,1.414741,1.280807,1.7319,1.617945
"25","500","CG Black Hispanic men",1.952,31,6.375958,4.076259,8.157519,6.292107
"26","1000","CG Black Hispanic men",2.976,31,4.655537,3.034528,5.896958,4.71972
"27","5000","CG Black Hispanic men",10.885,31,2.247417,1.724017,2.705696,2.928862
"28","500","CG Black Hispanic women",1.506,20,7.750764,4.227263,9.675816,6.421114
"29","1000","CG Black Hispanic women",2.132,20,5.809697,3.433716,7.283354,4.855889
"30","5000","CG Black Hispanic women",6.755,20,2.767984,2.432051,3.459664,3.077556
"31","500","CG Black men",13.603,41,4.623022,3.717702,5.940494,5.11314
"32","1000","CG Black men",27.816,41,3.255561,2.683484,4.158283,3.60387
"33","5000","CG Black men",137.779,41,1.588355,1.487752,1.869358,1.759578
"34","500","CG Black White men",1.553,43,5.212273,4.063828,6.74866,6.332841
"35","1000","CG Black White men",2.15,43,3.874207,3.052523,4.774665,4.789005
"36","5000","CG Black White men",7.083,43,1.841349,2.019894,2.158251,3.055406
"37","500","CG Black White women",1.295,27,6.227896,5.171133,7.993822,6.416774
"38","1000","CG Black White women",1.63,27,4.73467,4.765245,5.879075,4.866917
"39","5000","CG Black White women",4.395,27,2.244633,4.665819,2.722809,3.161769
"40","500","CG Black women",8.16,29,5.52318,3.700735,6.951695,5.440193
"41","1000","CG Black women",15.712,29,4.002409,2.722381,5.063465,3.924206
"42","5000","CG Black women",78.046,29,1.954634,1.547059,2.321561,2.024317
"43","500","CG Hispanic men",9.368,37,5.259292,3.669334,6.695014,5.237453
"44","1000","CG Hispanic men",18.415,37,3.72946,2.738158,4.75284,3.75045
"45","5000","CG Hispanic men",91.653,37,1.765819,1.500967,2.137362,1.930627
"46","500","CG Hispanic women",5.664,28,6.223102,3.640122,7.925618,5.530865
"47","1000","CG Hispanic women",10.884,28,4.713891,2.653873,5.818314,4.014474
"48","5000","CG Hispanic women",52.271,28,2.142958,1.474583,2.691775,2.183541
"49","500","CG White Hispanic men",16.574,40,4.714425,3.457039,6.0822,4.891499
"50","1000","CG White Hispanic men",33.791,40,3.20077,2.44505,4.148797,3.420546
"51","5000","CG White Hispanic men",169.379,40,1.501849,1.264768,1.814946,1.645698
"52","500","CG White Hispanic women",9.737,32,5.812064,3.685183,7.474039,5.247096
"53","1000","CG White Hispanic women",19.295,32,4.089677,2.743502,5.140758,3.736373
"54","5000","CG White Hispanic women",95.575,32,1.801475,1.461768,2.256826,1.912868
"55","500","CG White men",119.062,49,2.925624,2.851695,3.91001,3.845616
"56","1000","CG White men",246.224,49,2.049824,2.02481,2.624024,2.585828
"57","5000","CG White men",1270.934,49,0.905798,0.908752,1.130559,1.128423
"58","500","CG White women",67.061,35,3.131268,3.12165,4.21348,4.080323
"59","1000","CG White women",139.311,35,2.281669,2.403355,2.840828,2.776509
"60","5000","CG White women",715.899,35,0.994363,1.04159,1.228858,1.235253
"61","500","FG Asian Black men",1.046,37,5.160417,4.154557,6.948718,6.026454
"62","1000","FG Asian Black men",1.102,37,3.904984,3.375049,5.05676,4.560227
"63","5000","FG Asian Black men",1.537,37,1.921515,2.3261,2.319306,3.02614
"64","500","FG Asian Black women",1.035,32,6.483467,4.256151,8.04302,6.094863
"65","1000","FG Asian Black women",1.06,32,4.835196,3.365228,6.122518,4.63061
"66","5000","FG Asian Black women",1.296,32,2.464234,2.352805,2.935929,3.071254
"67","500","FG Asian Hispanic men",1.333,36,6.225337,4.004624,7.877919,5.927209
"68","1000","FG Asian Hispanic men",1.761,36,4.578683,3.226225,5.810642,4.44375
"69","5000","FG Asian Hispanic men",4.914,36,2.231328,2.207817,2.710597,2.894921
"70","500","FG Asian Hispanic women",1.185,30,7.188311,3.802904,9.160766,6.040933
"71","1000","FG Asian Hispanic women",1.42,30,5.596341,2.921902,7.043749,4.542403
"72","5000","FG Asian Hispanic women",3.181,30,2.931996,1.757033,3.450277,2.976985
"73","500","FG Asian men",17.952,44,4.530168,3.514448,5.718429,4.824756
"74","1000","FG Asian men",36.391,44,3.300221,2.765509,3.934303,3.376383
"75","5000","FG Asian men",185.672,44,1.411366,1.335914,1.729346,1.62906
"76","500","FG Asian White men",1.762,48,3.125671,2.969016,4.211921,5.445773
"77","1000","FG Asian White men",2.502,48,2.232135,2.196887,2.839357,4.066942
"78","5000","FG Asian White men",8.956,48,1.002926,1.232959,1.229109,2.692885
"79","500","FG Asian White women",1.429,38,3.476001,3.096035,4.680621,5.545458
"80","1000","FG Asian White women",1.847,38,2.580436,2.279281,3.181932,4.156031
"81","5000","FG Asian White women",5.603,38,1.184267,1.231855,1.388025,2.790092
"82","500","FG Asian women",10.629,37,5.164792,3.532236,6.798265,5.144955
"83","1000","FG Asian women",21.139,37,3.765635,2.672596,4.763872,3.655325
"84","5000","FG Asian women",104.145,37,1.757167,1.408176,2.134851,1.865068
"85","500","FG Black Hispanic men",1.555,29,7.900725,4.709318,9.631203,6.419593
"86","1000","FG Black Hispanic men",2.072,29,5.725372,3.978973,7.294981,4.867725
"87","5000","FG Black Hispanic men",6.515,29,2.883468,2.833438,3.475942,3.090664
"88","500","FG Black Hispanic women",1.28,25,8.721652,4.78821,11.104571,6.539065
"89","1000","FG Black Hispanic women",1.642,25,7.032027,3.819931,8.806921,4.981529
"90","5000","FG Black Hispanic women",4.164,25,3.719318,2.716106,4.465943,3.200168
"91","500","FG Black men",8.194,37,5.160417,4.053349,6.948718,5.448483
"92","1000","FG Black men",15.877,37,3.904984,3.246713,5.05676,3.949143
"93","5000","FG Black men",78.244,37,1.921515,1.829703,2.319306,2.057061
"94","500","FG Black White men",1.288,41,6.126219,4.012025,8.009353,6.400808
"95","1000","FG Black White men",1.637,41,4.573281,2.871654,5.87686,4.862584
"96","5000","FG Black White men",4.467,41,2.266757,1.614895,2.720735,3.15496
"97","500","FG Black White women",1.173,33,7.3834,4.242099,9.325563,6.474677
"98","1000","FG Black White women",1.363,33,5.707306,3.165444,7.151826,4.952378
"99","5000","FG Black White women",2.879,33,2.928618,1.847602,3.48321,3.236099
"100","500","FG Black women",5.102,32,6.483467,4.284985,8.04302,5.723135
"101","1000","FG Black women",9.306,32,4.835196,3.345482,6.122518,4.221761
"102","5000","FG Black women",44.39,32,2.464234,2.064613,2.935929,2.331072
"103","500","FG Hispanic men",5.763,36,6.225337,3.970003,7.877919,5.543249
"104","1000","FG Hispanic men",10.939,36,4.578683,3.183716,5.810642,4.031972
"105","5000","FG Hispanic men",51.434,36,2.231328,1.880949,2.710597,2.221524
"106","500","FG Hispanic women",3.662,30,7.188311,3.846965,9.160766,5.789954
"107","1000","FG Hispanic women",6.554,30,5.596341,2.958412,7.043749,4.27302
"108","5000","FG Hispanic women",29.528,30,2.931996,1.784578,3.450277,2.469614
"109","500","FG White Hispanic men",9.953,40,5.902283,3.580234,7.383464,5.214607
"110","1000","FG White Hispanic men",19.493,40,4.053521,2.616225,5.109001,3.709529
"111","5000","FG White Hispanic men",96.486,40,1.833124,1.390492,2.247205,1.893801
"112","500","FG White Hispanic women",6.009,35,7.377554,5.030853,9.291127,5.561073
"113","1000","FG White Hispanic women",11.401,35,5.232104,4.250905,6.496322,4.077914
"114","5000","FG White Hispanic women",54.46,35,2.222706,2.740437,2.874057,2.271608
"115","500","FG White men",67.331,48,3.125671,2.921584,4.211921,4.049384
"116","1000","FG White men",139.56,48,2.232135,2.117857,2.839357,2.740113
"117","5000","FG White men",715.359,48,1.002926,0.978045,1.229109,1.214919
"118","500","FG White women",38.293,38,3.476001,3.076387,4.680621,4.316083
"119","1000","FG White women",79.061,38,2.580436,2.299298,3.181932,2.957437
"120","5000","FG White women",403.065,38,1.184267,1.126752,1.388025,1.348117
