"","Group","mod","dif","SE"
"1","CG Asian men","dif_MLM_10000",0.732,1.099
"2","CG Asian men","dif_MLM_5000",-0.619,1.49
"3","CG Asian men","dif_MLM_1000",-5.797,3.089
"4","CG Asian men","dif_MLM_500",6.79,4.168
"5","CG Asian men","dif_MAIHDA_10000",0.461,1.088
"6","CG Asian men","dif_MAIHDA_5000",-1.177,1.413
"7","CG Asian men","dif_MAIHDA_1000",-5.976,2.983
"8","CG Asian men","dif_MAIHDA_500",0.461,1.088
"9","CG Asian women","dif_MLM_10000",-0.576,1.336
"10","CG Asian women","dif_MLM_5000",1.113,1.917
"11","CG Asian women","dif_MLM_1000",-6.946,3.919
"12","CG Asian women","dif_MLM_500",12.143,6.17
"13","CG Asian women","dif_MAIHDA_10000",-0.628,1.262
"14","CG Asian women","dif_MAIHDA_5000",-0.27,1.756
"15","CG Asian women","dif_MAIHDA_1000",-5.588,3.448
"16","CG Asian women","dif_MAIHDA_500",-0.628,1.262
"17","CG Black men","dif_MLM_10000",0.98,1.513
"18","CG Black men","dif_MLM_5000",-1.456,2.075
"19","CG Black men","dif_MLM_1000",-6.661,4.703
"20","CG Black men","dif_MLM_500",-1.915,6.138
"21","CG Black men","dif_MAIHDA_10000",0.346,1.444
"22","CG Black men","dif_MAIHDA_5000",-2.003,1.799
"23","CG Black men","dif_MAIHDA_1000",-4.529,4.059
"24","CG Black men","dif_MAIHDA_500",0.346,1.444
"25","CG Black women","dif_MLM_10000",0.142,1.942
"26","CG Black women","dif_MLM_5000",-4.015,2.676
"27","CG Black women","dif_MLM_1000",-0.622,5.795
"28","CG Black women","dif_MLM_500",-5.884,6.958
"29","CG Black women","dif_MAIHDA_10000",0.697,1.679
"30","CG Black women","dif_MAIHDA_5000",-1.554,2.265
"31","CG Black women","dif_MAIHDA_1000",0.951,4.52
"32","CG Black women","dif_MAIHDA_500",0.697,1.679
"33","CG Hispanic men","dif_MLM_10000",0.26,1.373
"34","CG Hispanic men","dif_MLM_5000",1.011,1.908
"35","CG Hispanic men","dif_MLM_1000",-12.21,4.243
"36","CG Hispanic men","dif_MLM_500",2.39,6.154
"37","CG Hispanic men","dif_MAIHDA_10000",0.624,1.307
"38","CG Hispanic men","dif_MAIHDA_5000",0.652,1.661
"39","CG Hispanic men","dif_MAIHDA_1000",-8.611,3.877
"40","CG Hispanic men","dif_MAIHDA_500",0.624,1.307
"41","CG Hispanic women","dif_MLM_10000",1.119,1.831
"42","CG Hispanic women","dif_MLM_5000",-3.157,2.407
"43","CG Hispanic women","dif_MLM_1000",2.826,4.529
"44","CG Hispanic women","dif_MLM_500",3.669,7.74
"45","CG Hispanic women","dif_MAIHDA_10000",1.031,1.558
"46","CG Hispanic women","dif_MAIHDA_5000",-1.547,2.013
"47","CG Hispanic women","dif_MAIHDA_1000",-0.639,4.066
"48","CG Hispanic women","dif_MAIHDA_500",1.031,1.558
"49","CG White Hispanic men","dif_MLM_10000",0.048,1.218
"50","CG White Hispanic men","dif_MLM_5000",-1.956,1.596
"51","CG White Hispanic men","dif_MLM_1000",-10.959,3.836
"52","CG White Hispanic men","dif_MLM_500",-3.088,5.638
"53","CG White Hispanic men","dif_MAIHDA_10000",0.202,1.2
"54","CG White Hispanic men","dif_MAIHDA_5000",-1.372,1.514
"55","CG White Hispanic men","dif_MAIHDA_1000",-9.218,3.609
"56","CG White Hispanic men","dif_MAIHDA_500",0.202,1.2
"57","CG White Hispanic women","dif_MLM_10000",2.63,1.585
"58","CG White Hispanic women","dif_MLM_5000",0.012,2.134
"59","CG White Hispanic women","dif_MLM_1000",-0.232,3.773
"60","CG White Hispanic women","dif_MLM_500",-4.056,5.498
"61","CG White Hispanic women","dif_MAIHDA_10000",1.419,1.488
"62","CG White Hispanic women","dif_MAIHDA_5000",-0.808,1.806
"63","CG White Hispanic women","dif_MAIHDA_1000",-2.979,3.667
"64","CG White Hispanic women","dif_MAIHDA_500",1.419,1.488
"65","CG White men","dif_MLM_10000",-0.339,0.819
"66","CG White men","dif_MLM_5000",-1.175,1.111
"67","CG White men","dif_MLM_1000",-4.288,2.28
"68","CG White men","dif_MLM_500",4.545,3.176
"69","CG White men","dif_MAIHDA_10000",-0.357,0.835
"70","CG White men","dif_MAIHDA_5000",-1.244,1.105
"71","CG White men","dif_MAIHDA_1000",-4.632,2.4
"72","CG White men","dif_MAIHDA_500",-0.357,0.835
"73","CG White women","dif_MLM_10000",-0.688,0.886
"74","CG White women","dif_MLM_5000",0.28,1.205
"75","CG White women","dif_MLM_1000",-4.25,2.553
"76","CG White women","dif_MLM_500",0.109,3.613
"77","CG White women","dif_MAIHDA_10000",-0.388,0.914
"78","CG White women","dif_MAIHDA_5000",0.636,1.225
"79","CG White women","dif_MAIHDA_1000",-3.489,2.6
"80","CG White women","dif_MAIHDA_500",-0.388,0.914
"81","FG Asian men","dif_MLM_10000",0.92,1.3
"82","FG Asian men","dif_MLM_5000",-1.628,1.81
"83","FG Asian men","dif_MLM_1000",0.348,3.882
"84","FG Asian men","dif_MLM_500",10.305,6.153
"85","FG Asian men","dif_MAIHDA_10000",1.034,1.236
"86","FG Asian men","dif_MAIHDA_5000",-1.003,1.651
"87","FG Asian men","dif_MAIHDA_1000",-0.441,3.456
"88","FG Asian men","dif_MAIHDA_500",1.034,1.236
"89","FG Asian women","dif_MLM_10000",-0.064,1.776
"90","FG Asian women","dif_MLM_5000",-5.033,2.439
"91","FG Asian women","dif_MLM_1000",-1.976,4.7
"92","FG Asian women","dif_MLM_500",1.116,6.386
"93","FG Asian women","dif_MAIHDA_10000",-0.599,1.498
"94","FG Asian women","dif_MAIHDA_5000",-3.608,1.929
"95","FG Asian women","dif_MAIHDA_1000",-1.717,3.888
"96","FG Asian women","dif_MAIHDA_500",-0.599,1.498
"97","FG Black men","dif_MLM_10000",0.882,1.84
"98","FG Black men","dif_MLM_5000",1.127,2.855
"99","FG Black men","dif_MLM_1000",-0.514,5.995
"100","FG Black men","dif_MLM_500",3.744,8.303
"101","FG Black men","dif_MAIHDA_10000",1.545,1.688
"102","FG Black men","dif_MAIHDA_5000",0.939,2.124
"103","FG Black men","dif_MAIHDA_1000",2.262,4.829
"104","FG Black men","dif_MAIHDA_500",1.545,1.688
"105","FG Black women","dif_MLM_10000",-1.836,2.621
"106","FG Black women","dif_MLM_5000",-0.354,3.542
"107","FG Black women","dif_MLM_1000",13.934,6.531
"108","FG Black women","dif_MLM_500",11.009,7.321
"109","FG Black women","dif_MAIHDA_10000",-2.05,2.037
"110","FG Black women","dif_MAIHDA_5000",-2.752,2.52
"111","FG Black women","dif_MAIHDA_1000",4.898,5.394
"112","FG Black women","dif_MAIHDA_500",-2.05,2.037
"113","FG Hispanic men","dif_MLM_10000",-1.072,1.653
"114","FG Hispanic men","dif_MLM_5000",-0.344,2.518
"115","FG Hispanic men","dif_MLM_1000",4.778,5.795
"116","FG Hispanic men","dif_MLM_500",14.553,6.146
"117","FG Hispanic men","dif_MAIHDA_10000",0.104,1.53
"118","FG Hispanic men","dif_MAIHDA_5000",0.205,1.999
"119","FG Hispanic men","dif_MAIHDA_1000",0.355,4.439
"120","FG Hispanic men","dif_MAIHDA_500",0.104,1.53
"121","FG Hispanic women","dif_MLM_10000",-0.529,2.162
"122","FG Hispanic women","dif_MLM_5000",-4.327,3.324
"123","FG Hispanic women","dif_MLM_1000",-14.288,7.241
"124","FG Hispanic women","dif_MLM_500",1.49,9.035
"125","FG Hispanic women","dif_MAIHDA_10000",-1.084,1.71
"126","FG Hispanic women","dif_MAIHDA_5000",-3.227,2.246
"127","FG Hispanic women","dif_MAIHDA_1000",-5.801,4.709
"128","FG Hispanic women","dif_MAIHDA_500",-1.084,1.71
"129","FG White Hispanic men","dif_MLM_10000",0.859,1.453
"130","FG White Hispanic men","dif_MLM_5000",-0.677,2.219
"131","FG White Hispanic men","dif_MLM_1000",-7.694,4.538
"132","FG White Hispanic men","dif_MLM_500",1.991,4.756
"133","FG White Hispanic men","dif_MAIHDA_10000",0.676,1.336
"134","FG White Hispanic men","dif_MAIHDA_5000",-0.693,1.842
"135","FG White Hispanic men","dif_MAIHDA_1000",-6.073,3.822
"136","FG White Hispanic men","dif_MAIHDA_500",0.676,1.336
"137","FG White Hispanic women","dif_MLM_10000",-4.073,2.054
"138","FG White Hispanic women","dif_MLM_5000",-0.026,2.708
"139","FG White Hispanic women","dif_MLM_1000",-7.523,5.288
"140","FG White Hispanic women","dif_MLM_500",-1.414,6.614
"141","FG White Hispanic women","dif_MAIHDA_10000",-4.242,1.703
