"","N_groups","model","N_fac","mean","sd","N"
"1",1,"Fixed Effect","500",6.21866367907481,8.03367744850042,13835
"2",1,"Fixed Effect","1000",4.91485771481367,6.21247521261129,9741
"3",1,"Fixed Effect","5000",2.9602711241734,3.4953020492675,2722
"4",1,"MAIHDA","500",4.00427322009396,5.05336950760238,13835
"5",1,"MAIHDA","1000",3.15433856893543,3.96494857907383,9741
"6",1,"MAIHDA","5000",2.09811572373255,2.55158057172111,2722
"7",2,"Fixed Effect","500",5.72810265848671,7.5780808785169,4890
"8",2,"Fixed Effect","1000",4.43916359163592,5.76360601938449,5691
"9",2,"Fixed Effect","5000",3.09284509394572,3.66618032491887,2395
"10",2,"MAIHDA","500",3.95592188139059,4.99127129182455,4890
"11",2,"MAIHDA","1000",3.10812915129151,3.86454577872733,5691
"12",2,"MAIHDA","5000",2.06682296450939,2.57275384484247,2395
"13",3,"Fixed Effect","500",5.74590235525025,7.51384835988238,2038
"14",3,"Fixed Effect","1000",3.96569820971867,5.25450823896268,2737
"15",3,"Fixed Effect","5000",2.83561095372993,3.6082599178369,2118
"16",3,"MAIHDA","500",3.8317777232581,4.88173294502247,2038
"17",3,"MAIHDA","1000",3.02024954329558,3.76185180972686,2737
"18",3,"MAIHDA","5000",2.22579036827195,2.79029738895063,2118
"19",4,"Fixed Effect","500",6.26340775305097,8.05376761842228,1393
"20",4,"Fixed Effect","1000",3.86986356589147,5.11783487756077,1290
"21",4,"Fixed Effect","5000",2.54453609239654,3.29121964967836,2078
"22",4,"MAIHDA","500",3.84925340990668,4.83653262942663,1393
"23",4,"MAIHDA","1000",2.98189379844961,3.75734181940093,1290
"24",4,"MAIHDA","5000",2.26402887391723,2.80005788350152,2078
"25",5,"Fixed Effect","500",6.28121193092622,7.99200710717959,1274
"26",5,"Fixed Effect","1000",3.87395436766623,5.27822151470177,767
"27",5,"Fixed Effect","5000",2.33824424865394,3.0850678735964,2043
"28",5,"MAIHDA","500",4.09056043956044,5.04032402401702,1274
"29",5,"MAIHDA","1000",2.94440938722295,3.74024500905375,767
"30",5,"MAIHDA","5000",2.20819579050416,2.6763531729146,2043
"31",6,"Fixed Effect","500",6.1278565830721,7.76930820602348,1276
"32",6,"Fixed Effect","1000",4.66893027210884,6.0852405441306,588
"33",6,"Fixed Effect","5000",2.15317396247868,2.83385101094949,1759
"34",6,"MAIHDA","500",3.99923119122257,5.03603314765536,1276
"35",6,"MAIHDA","1000",2.86350680272109,3.54884672704403,588
"36",6,"MAIHDA","5000",2.17478112563957,2.5753491341781,1759
"37",7,"Fixed Effect","500",5.77668943089431,7.37031267892409,1230
"38",7,"Fixed Effect","1000",5.01534831460674,6.3039177588666,534
"39",7,"Fixed Effect","5000",1.98037467532468,2.60120720085001,1540
"40",7,"MAIHDA","500",3.96934227642276,5.03468893973979,1230
"41",7,"MAIHDA","1000",3.201765917603,3.85988950321361,534
"42",7,"MAIHDA","5000",2.13744935064935,2.49934620922676,1540
"43",8,"Fixed Effect","500",5.65093949579832,7.09444848623732,1190
"44",8,"Fixed Effect","1000",5.31046282527881,6.66148140256862,538
"45",8,"Fixed Effect","5000",1.90970032840722,2.54503156792598,1218
"46",8,"MAIHDA","500",4.00252773109244,5.02214629862671,1190
"47",8,"MAIHDA","1000",3.39708178438662,4.18331292059164,538
"48",8,"MAIHDA","5000",2.08394417077176,2.42209309330364,1218
"49",9,"Fixed Effect","500",5.42849315068493,6.79853246189998,1095
"50",9,"Fixed Effect","1000",5.08814106583072,6.40383807965663,638
"51",9,"Fixed Effect","5000",1.80704693877551,2.37336758497336,980
"52",9,"MAIHDA","500",3.78817260273973,4.82503358240417,1095
"53",9,"MAIHDA","1000",3.24161912225705,4.01760483216612,638
"54",9,"MAIHDA","5000",1.93678163265306,2.26152552464251,980
"55",10,"Fixed Effect","500",5.36574975074776,6.63984224238447,1003
"56",10,"Fixed Effect","1000",4.87478651685393,6.08612057629849,623
"57",10,"Fixed Effect","5000",1.76491666666667,2.37072230123704,780
"58",10,"MAIHDA","500",3.60651445663011,4.48354726353763,1003
"59",10,"MAIHDA","1000",3.31700160513644,4.07183989828013,623
"60",10,"MAIHDA","5000",1.94811923076923,2.2721173312452,780
"61",11,"Fixed Effect","500",5.00913546255507,6.32289132734853,908
"62",11,"Fixed Effect","1000",4.48437758112094,5.59668612884505,678
"63",11,"Fixed Effect","5000",1.59900495867769,2.1157302279278,605
"64",11,"MAIHDA","500",3.5936563876652,4.52873193246783,908
"65",11,"MAIHDA","1000",3.12705899705015,3.91961694145863,678
"66",11,"MAIHDA","5000",1.8818347107438,2.27222649966182,605
"67",12,"Fixed Effect","500",5.12347671232877,6.29363251893815,730
"68",12,"Fixed Effect","1000",4.6504231884058,5.79715224081866,690
"69",12,"Fixed Effect","5000",1.53906812652068,2.05844979517755,411
"70",12,"MAIHDA","500",3.66529863013699,4.57640319411386,730
"71",12,"MAIHDA","1000",3.41911014492754,4.18929159143954,690
"72",12,"MAIHDA","5000",1.79464476885645,2.20444593937751,411
"73",13,"Fixed Effect","500",4.74449441786284,5.88033325680153,627
"74",13,"Fixed Effect","1000",4.59447088186356,5.68038213454462,601
"75",13,"Fixed Effect","5000",1.44680058651026,1.96353716642958,341
"76",13,"MAIHDA","500",3.63903349282297,4.50300817267542,627
"77",13,"MAIHDA","1000",3.17623793677205,3.90433087897291,601
"78",13,"MAIHDA","5000",1.82683284457478,2.28393652699857,341
"79",14,"Fixed Effect","500",4.8960518783542,6.17224740465644,559
"80",14,"Fixed Effect","1000",4.22145483359746,5.28041605479149,631
"81",14,"Fixed Effect","5000",1.34305078125,1.73986620305097,256
"82",14,"MAIHDA","500",3.79138640429338,4.74597018704549,559
"83",14,"MAIHDA","1000",2.98266561014263,3.68780391343641,631
"84",14,"MAIHDA","5000",1.63696875,2.04150408004087,256
"85",15,"Fixed Effect","500",4.85805566600398,6.21585830114608,503
"86",15,"Fixed Effect","1000",4.06074244833068,5.06415417119396,629
"87",15,"Fixed Effect","5000",1.13895187165775,1.45537514651354,187
"88",15,"MAIHDA","500",3.61521471172962,4.53779187884674,503
"89",15,"MAIHDA","1000",2.86572813990461,3.60385066896201,629
"90",15,"MAIHDA","5000",1.6763422459893,1.98851675026391,187
"91",16,"Fixed Effect","500",4.22385894206549,5.35623610571109,397
"92",16,"Fixed Effect","1000",3.98297851239669,5.09495958144041,605
"93",16,"Fixed Effect","5000",1.20155813953488,1.71397038748868,172
"94",16,"MAIHDA","500",3.35325692695214,4.28796885551715,397
"95",16,"MAIHDA","1000",2.85867768595041,3.6439479819641,605
"96",16,"MAIHDA","5000",1.65208720930233,2.01337509834897,172
"97",17,"Fixed Effect","500",4.22751329787234,5.3825025598667,376
"98",17,"Fixed Effect","1000",4.02855161290323,4.97876725416649,620
"99",17,"Fixed Effect","5000",1.22383333333333,1.76218058185909,120
"100",17,"MAIHDA","500",3.22293617021277,4.16573261318671,376
"101",17,"MAIHDA","1000",2.91148225806452,3.60340667287786,620
"102",17,"MAIHDA","5000",1.777725,2.11407473372204,120
"103",18,"Fixed Effect","500",4.34083914209115,5.45734845194247,373
"104",18,"Fixed Effect","1000",3.85661013986014,4.81960545769758,572
"105",18,"Fixed Effect","5000",1.17227835051546,1.62778614791438,97
"106",18,"MAIHDA","500",3.49924396782842,4.39185271772466,373
"107",18,"MAIHDA","1000",2.77767657342657,3.52527298713524,572
"108",18,"MAIHDA","5000",1.62059793814433,1.80380902554686,97
"109",19,"Fixed Effect","500",4.34262962962963,5.46224618767979,324
"110",19,"Fixed Effect","1000",3.66451210428305,4.65496352922035,537
"111",19,"Fixed Effect","5000",1.14428571428571,1.74902557218982,70
"112",19,"MAIHDA","500",3.39312345679012,4.26501248449636,324
"113",19,"MAIHDA","1000",2.68330540037244,3.4029541599249,537
"114",19,"MAIHDA","5000",1.40787142857143,1.65885367520315,70
"115",20,"Fixed Effect","500",4.20524505928854,5.25399046420418,253
"116",20,"Fixed Effect","1000",3.99518899082569,4.92708867252936,545
"117",20,"Fixed Effect","5000",1.81013432835821,2.51452277168753,67
"118",20,"MAIHDA","500",3.23625296442688,4.08255329005586,253
"119",20,"MAIHDA","1000",2.83405321100917,3.55798018858676,545
"120",20,"MAIHDA","5000",1.65719402985075,1.6853571578258,67
