"","N_groups","mean_Fixed Effect_500","sd_Fixed Effect_500","mean_MAIHDA_500","sd_MAIHDA_500","mean_Fixed Effect_1000","sd_Fixed Effect_1000","mean_MAIHDA_1000","sd_MAIHDA_1000"
"1",1,6.21866367907481,8.03367744850042,4.00427322009396,5.05336950760238,4.91485771481367,6.21247521261129,3.15433856893543,3.96494857907383
"2",2,5.72810265848671,7.5780808785169,3.95592188139059,4.99127129182455,4.43916359163592,5.76360601938449,3.10812915129151,3.86454577872733
"3",3,5.74590235525025,7.51384835988238,3.8317777232581,4.88173294502247,3.96569820971867,5.25450823896268,3.02024954329558,3.76185180972686
"4",4,6.26340775305097,8.05376761842228,3.84925340990668,4.83653262942663,3.86986356589147,5.11783487756077,2.98189379844961,3.75734181940093
"5",5,6.28121193092622,7.99200710717959,4.09056043956044,5.04032402401702,3.87395436766623,5.27822151470177,2.94440938722295,3.74024500905375
"6",6,6.1278565830721,7.76930820602348,3.99923119122257,5.03603314765536,4.66893027210884,6.0852405441306,2.86350680272109,3.54884672704403
"7",7,5.77668943089431,7.37031267892409,3.96934227642276,5.03468893973979,5.01534831460674,6.3039177588666,3.201765917603,3.85988950321361
"8",8,5.65093949579832,7.09444848623732,4.00252773109244,5.02214629862671,5.31046282527881,6.66148140256862,3.39708178438662,4.18331292059164
"9",9,5.42849315068493,6.79853246189998,3.78817260273973,4.82503358240417,5.08814106583072,6.40383807965663,3.24161912225705,4.01760483216612
"10",10,5.36574975074776,6.63984224238447,3.60651445663011,4.48354726353763,4.87478651685393,6.08612057629849,3.31700160513644,4.07183989828013
"11",11,5.00913546255507,6.32289132734853,3.5936563876652,4.52873193246783,4.48437758112094,5.59668612884505,3.12705899705015,3.91961694145863
"12",12,5.12347671232877,6.29363251893815,3.66529863013699,4.57640319411386,4.6504231884058,5.79715224081866,3.41911014492754,4.18929159143954
"13",13,4.74449441786284,5.88033325680153,3.63903349282297,4.50300817267542,4.59447088186356,5.68038213454462,3.17623793677205,3.90433087897291
"14",14,4.8960518783542,6.17224740465644,3.79138640429338,4.74597018704549,4.22145483359746,5.28041605479149,2.98266561014263,3.68780391343641
"15",15,4.85805566600398,6.21585830114608,3.61521471172962,4.53779187884674,4.06074244833068,5.06415417119396,2.86572813990461,3.60385066896201
"16",16,4.22385894206549,5.35623610571109,3.35325692695214,4.28796885551715,3.98297851239669,5.09495958144041,2.85867768595041,3.6439479819641
"17",17,4.22751329787234,5.3825025598667,3.22293617021277,4.16573261318671,4.02855161290323,4.97876725416649,2.91148225806452,3.60340667287786
"18",18,4.34083914209115,5.45734845194247,3.49924396782842,4.39185271772466,3.85661013986014,4.81960545769758,2.77767657342657,3.52527298713524
"19",19,4.34262962962963,5.46224618767979,3.39312345679012,4.26501248449636,3.66451210428305,4.65496352922035,2.68330540037244,3.4029541599249
"20",20,4.20524505928854,5.25399046420418,3.23625296442688,4.08255329005586,3.99518899082569,4.92708867252936,2.83405321100917,3.55798018858676
