"","N_groups","model","N_fac","bias","SD","N","SE"
"1",1,"Fixed Effect","500",0.421179327791833,8.03367744850042,13835,0.06830064565107
"2",1,"Fixed Effect","1000",0.691769530848988,6.21247521261129,9741,0.062945240505216
"3",1,"Fixed Effect","5000",1.19895664952241,3.4953020492675,2722,0.0669947315408446
"4",1,"MAIHDA","500",0.219507481026382,5.05336950760238,13835,0.0429626907845421
"5",1,"MAIHDA","1000",0.207178113130069,3.96494857907383,9741,0.040173140875312
"6",1,"MAIHDA","5000",-0.257270756796473,2.55158057172111,2722,0.0489063471476276
"7",2,"Fixed Effect","500",0.0483104294478531,7.5780808785169,4890,0.108368935287028
"8",2,"Fixed Effect","1000",0.210247056756281,5.76360601938449,5691,0.0764011671994864
"9",2,"Fixed Effect","5000",1.29183215031315,3.66618032491887,2395,0.0749136682657873
"10",2,"MAIHDA","500",0.307875255623722,4.99127129182455,4890,0.0713767462098655
"11",2,"MAIHDA","1000",0.667092075206466,3.86454577872733,5691,0.0512276181261514
"12",2,"MAIHDA","5000",-0.131249686847599,2.57275384484247,2395,0.05257090786071
"13",3,"Fixed Effect","500",0.127307654563297,7.51384835988238,2038,0.166441007616341
"14",3,"Fixed Effect","1000",0.190135184508586,5.25450823896268,2737,0.100437218902807
"15",3,"Fixed Effect","5000",0.439207743153919,3.6082599178369,2118,0.0784033891063147
"16",3,"MAIHDA","500",0.0537325809617272,4.88173294502247,2038,0.108136405123852
"17",3,"MAIHDA","1000",0.704522104493972,3.76185180972686,2737,0.0719058599797816
"18",3,"MAIHDA","5000",0.121397544853636,2.79029738895063,2118,0.0606299925420502
"19",4,"Fixed Effect","500",-0.239021536252692,8.05376761842228,1393,0.215786134937492
"20",4,"Fixed Effect","1000",0.0496682170542635,5.11783487756077,1290,0.142492305882253
"21",4,"Fixed Effect","5000",0.103197305101059,3.29121964967836,2078,0.0721994843148921
"22",4,"MAIHDA","500",-0.589854989231874,4.83653262942663,1393,0.129586143038913
