"","N_fac","group","model","N","True_score","Diff_from_true","SE"
"1","500","CG Asian Black men","Fixed Effect",1.1,41,6.262534,4.902733
"2","500","CG Asian Black men","MAIHDA",1.1,41,3.770731,5.943217
"3","500","CG Asian Black women","Fixed Effect",1.056,29,6.610615,7.960617
"4","500","CG Asian Black women","MAIHDA",1.056,29,3.642701,6.02532
"5","500","CG Asian Hispanic men","Fixed Effect",1.625,37,5.259292,6.695014
"6","500","CG Asian Hispanic men","MAIHDA",1.625,37,3.671962,5.810305
"7","500","CG Asian Hispanic women","Fixed Effect",1.372,28,6.223102,7.925618
"8","500","CG Asian Hispanic women","MAIHDA",1.372,28,3.572052,5.919639
"9","500","CG Asian men","Fixed Effect",31.056,47,3.796786,4.902733
"10","500","CG Asian men","MAIHDA",31.056,47,3.351694,4.461146
"11","500","CG Asian White men","Fixed Effect",2.288,49,2.925624,3.91001
"12","500","CG Asian White men","MAIHDA",2.288,49,3.073716,5.344915
"13","500","CG Asian White women","Fixed Effect",1.752,35,3.131268,4.21348
"14","500","CG Asian White women","MAIHDA",1.752,35,3.696313,5.448641
"15","500","CG Asian women","Fixed Effect",18.242,37,4.402413,5.691739
"16","500","CG Asian women","MAIHDA",18.242,37,3.450021,4.803935
"17","500","CG Black Hispanic men","Fixed Effect",1.952,31,6.375958,8.157519
"18","500","CG Black Hispanic men","MAIHDA",1.952,31,4.076259,6.292107
"19","500","CG Black Hispanic women","Fixed Effect",1.506,20,7.750764,9.675816
"20","500","CG Black Hispanic women","MAIHDA",1.506,20,4.227263,6.421114
"21","500","CG Black men","Fixed Effect",13.603,41,4.623022,5.940494
"22","500","CG Black men","MAIHDA",13.603,41,3.717702,5.11314
"23","500","CG Black White men","Fixed Effect",1.553,43,5.212273,6.74866
"24","500","CG Black White men","MAIHDA",1.553,43,4.063828,6.332841
"25","500","CG Black White women","Fixed Effect",1.295,27,6.227896,7.993822
"26","500","CG Black White women","MAIHDA",1.295,27,5.171133,6.416774
"27","500","CG Black women","Fixed Effect",8.16,29,5.52318,6.951695
"28","500","CG Black women","MAIHDA",8.16,29,3.700735,5.440193
"29","500","CG Hispanic men","Fixed Effect",9.368,37,5.259292,6.695014
"30","500","CG Hispanic men","MAIHDA",9.368,37,3.669334,5.237453
"31","500","CG Hispanic women","Fixed Effect",5.664,28,6.223102,7.925618
"32","500","CG Hispanic women","MAIHDA",5.664,28,3.640122,5.530865
"33","500","CG White Hispanic men","Fixed Effect",16.574,40,4.714425,6.0822
"34","500","CG White Hispanic men","MAIHDA",16.574,40,3.457039,4.891499
"35","500","CG White Hispanic women","Fixed Effect",9.737,32,5.812064,7.474039
"36","500","CG White Hispanic women","MAIHDA",9.737,32,3.685183,5.247096
"37","500","CG White men","Fixed Effect",119.062,49,2.925624,3.91001
"38","500","CG White men","MAIHDA",119.062,49,2.851695,3.845616
"39","500","CG White women","Fixed Effect",67.061,35,3.131268,4.21348
"40","500","CG White women","MAIHDA",67.061,35,3.12165,4.080323
"41","500","FG Asian Black men","Fixed Effect",1.046,37,5.160417,6.948718
"42","500","FG Asian Black men","MAIHDA",1.046,37,4.154557,6.026454
"43","500","FG Asian Black women","Fixed Effect",1.035,32,6.483467,8.04302
"44","500","FG Asian Black women","MAIHDA",1.035,32,4.256151,6.094863
"45","500","FG Asian Hispanic men","Fixed Effect",1.333,36,6.225337,7.877919
"46","500","FG Asian Hispanic men","MAIHDA",1.333,36,4.004624,5.927209
"47","500","FG Asian Hispanic women","Fixed Effect",1.185,30,7.188311,9.160766
"48","500","FG Asian Hispanic women","MAIHDA",1.185,30,3.802904,6.040933
"49","500","FG Asian men","Fixed Effect",17.952,44,4.530168,5.718429
"50","500","FG Asian men","MAIHDA",17.952,44,3.514448,4.824756
"51","500","FG Asian White men","Fixed Effect",1.762,48,3.125671,4.211921
"52","500","FG Asian White men","MAIHDA",1.762,48,2.969016,5.445773
"53","500","FG Asian White women","Fixed Effect",1.429,38,3.476001,4.680621
"54","500","FG Asian White women","MAIHDA",1.429,38,3.096035,5.545458
"55","500","FG Asian women","Fixed Effect",10.629,37,5.164792,6.798265
"56","500","FG Asian women","MAIHDA",10.629,37,3.532236,5.144955
"57","500","FG Black Hispanic men","Fixed Effect",1.555,29,7.900725,9.631203
"58","500","FG Black Hispanic men","MAIHDA",1.555,29,4.709318,6.419593
"59","500","FG Black Hispanic women","Fixed Effect",1.28,25,8.721652,11.104571
"60","500","FG Black Hispanic women","MAIHDA",1.28,25,4.78821,6.539065
"61","500","FG Black men","Fixed Effect",8.194,37,5.160417,6.948718
"62","500","FG Black men","MAIHDA",8.194,37,4.053349,5.448483
"63","500","FG Black White men","Fixed Effect",1.288,41,6.126219,8.009353
"64","500","FG Black White men","MAIHDA",1.288,41,4.012025,6.400808
"65","500","FG Black White women","Fixed Effect",1.173,33,7.3834,9.325563
"66","500","FG Black White women","MAIHDA",1.173,33,4.242099,6.474677
"67","500","FG Black women","Fixed Effect",5.102,32,6.483467,8.04302
"68","500","FG Black women","MAIHDA",5.102,32,4.284985,5.723135
"69","500","FG Hispanic men","Fixed Effect",5.763,36,6.225337,7.877919
"70","500","FG Hispanic men","MAIHDA",5.763,36,3.970003,5.543249
"71","500","FG Hispanic women","Fixed Effect",3.662,30,7.188311,9.160766
"72","500","FG Hispanic women","MAIHDA",3.662,30,3.846965,5.789954
"73","500","FG White Hispanic men","Fixed Effect",9.953,40,5.902283,7.383464
"74","500","FG White Hispanic men","MAIHDA",9.953,40,3.580234,5.214607
"75","500","FG White Hispanic women","Fixed Effect",6.009,35,7.377554,9.291127
"76","500","FG White Hispanic women","MAIHDA",6.009,35,5.030853,5.561073
"77","500","FG White men","Fixed Effect",67.331,48,3.125671,4.211921
"78","500","FG White men","MAIHDA",67.331,48,2.921584,4.049384
"79","500","FG White women","Fixed Effect",38.293,38,3.476001,4.680621
"80","500","FG White women","MAIHDA",38.293,38,3.076387,4.316083
"81","1000","CG Asian Black men","Fixed Effect",1.189,41,6.126327,3.332721
"82","1000","CG Asian Black men","MAIHDA",1.189,41,2.815059,4.490927
"83","1000","CG Asian Black women","Fixed Effect",1.126,29,4.998078,5.626909
"84","1000","CG Asian Black women","MAIHDA",1.126,29,2.668558,4.551412
"85","1000","CG Asian Hispanic men","Fixed Effect",2.335,37,3.72946,4.75284
"86","1000","CG Asian Hispanic men","MAIHDA",2.335,37,2.746947,4.324536
"87","1000","CG Asian Hispanic women","Fixed Effect",1.719,28,4.713891,5.818314
"88","1000","CG Asian Hispanic women","MAIHDA",1.719,28,2.57903,4.437633
"89","1000","CG Asian men","Fixed Effect",64.313,47,2.685431,3.332721
"90","1000","CG Asian men","MAIHDA",64.313,47,2.370161,3.067288
"91","1000","CG Asian White men","Fixed Effect",3.784,49,2.049824,2.624024
"92","1000","CG Asian White men","MAIHDA",3.784,49,2.355916,3.970359
"93","1000","CG Asian White women","Fixed Effect",2.544,35,2.281669,2.840828
"94","1000","CG Asian White women","MAIHDA",2.544,35,3.148057,4.069989
"95","1000","CG Asian women","Fixed Effect",36.527,37,3.217102,3.934299
"96","1000","CG Asian women","MAIHDA",36.527,37,2.56575,3.358758
"97","1000","CG Black Hispanic men","Fixed Effect",2.976,31,4.655537,5.896958
"98","1000","CG Black Hispanic men","MAIHDA",2.976,31,3.034528,4.71972
"99","1000","CG Black Hispanic women","Fixed Effect",2.132,20,5.809697,7.283354
"100","1000","CG Black Hispanic women","MAIHDA",2.132,20,3.433716,4.855889
"101","1000","CG Black men","Fixed Effect",27.816,41,3.255561,4.158283
"102","1000","CG Black men","MAIHDA",27.816,41,2.683484,3.60387
"103","1000","CG Black White men","Fixed Effect",2.15,43,3.874207,4.774665
"104","1000","CG Black White men","MAIHDA",2.15,43,3.052523,4.789005
"105","1000","CG Black White women","Fixed Effect",1.63,27,4.73467,5.879075
"106","1000","CG Black White women","MAIHDA",1.63,27,4.765245,4.866917
"107","1000","CG Black women","Fixed Effect",15.712,29,4.002409,5.063465
"108","1000","CG Black women","MAIHDA",15.712,29,2.722381,3.924206
"109","1000","CG Hispanic men","Fixed Effect",18.415,37,3.72946,4.75284
"110","1000","CG Hispanic men","MAIHDA",18.415,37,2.738158,3.75045
"111","1000","CG Hispanic women","Fixed Effect",10.884,28,4.713891,5.818314
"112","1000","CG Hispanic women","MAIHDA",10.884,28,2.653873,4.014474
"113","1000","CG White Hispanic men","Fixed Effect",33.791,40,3.20077,4.148797
"114","1000","CG White Hispanic men","MAIHDA",33.791,40,2.44505,3.420546
"115","1000","CG White Hispanic women","Fixed Effect",19.295,32,4.089677,5.140758
